collected_at,product_code,product_name,product_url,inch,resolution,refresh_rate,panel,aspect_ratio,shape,brightness,color,special_features,full_spec,registration_month,fetch_status,error
2026-07-14T19:00:06+00:00,10273200,APPLE Pro Display XDR Nano-texture MWPF2KH/A,https://prod.danawa.com/info/?pcode=10273200&cate=112757,81.28cm(32인치),6016x3384,60Hz,IPS,와이드(16:9),평면,,,,모니터 / 81.28cm(32인치) / 6016x3384 / 60Hz / IPS / 와이드(16:9) / 평면 / HDR10 / 7.48kg / [단자정보] USB C타입 / 썬더볼트3,2020/01,ok,
2026-07-14T19:00:06+00:00,79559018,APPLE Studio Display MYJG3KH/A,https://prod.danawa.com/info/?pcode=79559018&cate=112757,68.3cm(27인치),5K UHD(5120x2880),60Hz,IPS,,,600nits,,,"모니터 / 68.3cm(27인치) / 5K UHD(5120x2880) / 60Hz / IPS / 600nits / 스피커 내장 / USB PD 지원 / 틸트(상하) / 5.5kg / [단자정보] 썬더볼트3 / USB C타입 / [기타] Siri, Apple 스튜디오 디스플레이 나노텍스쳐 글래스 모니터 + 기울기 조절 스탠드 세트",2025/04,ok,
2026-07-14T19:00:06+00:00,106757369,APPLE Studio Display MYJJ3KH/A,https://prod.danawa.com/info/?pcode=106757369&cate=112757,68.3cm(27인치),5K UHD(5120x2880),60Hz,IPS,,,600nits,,,"모니터 / 68.3cm(27인치) / 5K UHD(5120x2880) / 60Hz / IPS / 600nits / USB PD 지원 / 스피커 내장 / 엘리베이션(높낮이) / 틸트(상하) / 5.5kg / [단자정보] 썬더볼트3 / USB C타입 / [기타] Siri, Apple 스튜디오 디스플레이 나노텍스쳐 글래스 모니터 + 기울기 및 높이조절 스탠드 세트",2025/04,ok,
2026-07-14T19:00:06+00:00,122683510,ARZOPA A1M,https://prod.danawa.com/info/?pcode=122683510&cate=112757,43cm(17인치),FHD(1920x1080),,IPS,,,,,,포터블 모니터 / 43cm(17인치) / FHD(1920x1080) / IPS / HDR10 / 스피커 내장 / 휴대용 / 접이식 / [단자정보] USB C타입 / mini HDMI,2026/05,ok,
2026-07-14T19:00:06+00:00,122683498,ARZOPA Z1RC,https://prod.danawa.com/info/?pcode=122683498&cate=112757,40cm(16인치),WQXGA(2560x1600),,IPS,와이드(16:10),평면,350nits,,,"포터블 모니터 / 40cm(16인치) / WQXGA(2560x1600) / IPS / 와이드(16:10) / 평면 / 350nits / 1,200:1 / HDR10 / 휴대용 / 스피커 내장 / 틸트(상하) / 접이식 / 780g / [단자정보] mini HDMI / USB C타입",2026/05,ok,
2026-07-14T19:00:06+00:00,5588833,ASUS MG248QR,https://prod.danawa.com/info/?pcode=5588833&cate=112757,61cm(24인치),FHD(1920x1080),144Hz,TN,와이드(16:9),평면,350nits,,조준선 표시 / Adaptive Sync,"모니터 / 61cm(24인치) / FHD(1920x1080) / 144Hz / TN / 와이드(16:9) / 평면 / 1ms(GTG) / 350nits / 1,000:1 / 헤드폰 아웃 / 스피커 내장 / 피벗(회전) / 틸트(상하) / 엘리베이션(높낮이) / 스위블(좌우) / 7.2kg / [게임특화] 조준선 표시 / Adaptive Sync / [단자정보] DVI / DP / HDMI",2017/10,ok,
2026-07-14T19:00:06+00:00,122696559,ASUS ProArt Display PA249CGV,https://prod.danawa.com/info/?pcode=122696559&cate=112757,61cm(24인치),FHD(1920x1080),144Hz,IPS,와이드(16:9),평면,350nits,,Adaptive Sync,"모니터 / 61cm(24인치) / FHD(1920x1080) / 144Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 350nits / 3,000:1 / HDR10 / USB PD 지원 / 스피커 내장 / 엘리베이션(높낮이) / 피벗(회전) / 틸트(상하) / 스위블(좌우) / 5.3kg / [게임특화] Adaptive Sync / [단자정보] USB C타입 / HDMI 2.1 / DP 1.4",2026/06,ok,
2026-07-14T19:00:06+00:00,81633947,ASUS ProArt PA278CFRV,https://prod.danawa.com/info/?pcode=81633947&cate=112757,68cm(27인치),QHD(2560x1440),100Hz,IPS,와이드(16:9),평면,400nits,,Adaptive Sync,"모니터 / 68cm(27인치) / QHD(2560x1440) / 100Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 400nits / 1,000:1 / VESA HDR 400 / HDR10 / USB PD 지원 / 스피커 내장 / 스위블(좌우) / 엘리베이션(높낮이) / 피벗(회전) / 틸트(상하) / 6.6kg / [게임특화] Adaptive Sync / [단자정보] DP 1.4 / HDMI 2.0 / USB C타입",2025/04,ok,
2026-07-14T19:00:06+00:00,122633885,ASUS ProArt PA278CGRV,https://prod.danawa.com/info/?pcode=122633885&cate=112757,68cm(27인치),QHD(2560x1440),144Hz,IPS,와이드(16:9),평면,400nits,,Adaptive Sync,"모니터 / 68cm(27인치) / QHD(2560x1440) / 144Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 400nits / 1,500:1 / HDR10 / VESA HDR 400 / 헤드폰 아웃 / USB PD 지원 / 스피커 내장 / 피벗(회전) / 스위블(좌우) / 틸트(상하) / 엘리베이션(높낮이) / 6.6kg / [게임특화] Adaptive Sync / [단자정보] DP 1.4 / HDMI 2.1 / USB C타입",2026/04,ok,
2026-07-14T19:00:06+00:00,20580923,ASUS ProArt PA278CGV,https://prod.danawa.com/info/?pcode=20580923&cate=112757,68cm(27인치),QHD(2560x1440),144Hz,IPS,와이드(16:9),평면,350nits,,Adaptive Sync / FreeSync 프리미엄 / FreeSync,"모니터 / 68cm(27인치) / QHD(2560x1440) / 144Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 350nits / 1,000:1 / VESA HDR 400 / USB PD 지원 / 스피커 내장 / 틸트(상하) / 엘리베이션(높낮이) / 피벗(회전) / 스위블(좌우) / 8.5kg / [게임특화] Adaptive Sync / FreeSync 프리미엄 / FreeSync / [단자정보] DP / HDMI 2.0 / USB C타입",2023/06,ok,
2026-07-14T19:00:06+00:00,98544158,ASUS ProArt PA278QGV,https://prod.danawa.com/info/?pcode=98544158&cate=112757,68cm(27인치),QHD(2560x1440),120Hz,IPS,와이드(16:9),평면,350nits,,,"모니터 / 68cm(27인치) / QHD(2560x1440) / 120Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 350nits / 3,000:1 / HDR10 / 스피커 내장 / 엘리베이션(높낮이) / 스위블(좌우) / 틸트(상하) / 피벗(회전) / 6.4kg / [단자정보] HDMI 2.0 / DP 1.4",2025/10,ok,
