collected_at,product_code,product_name,product_url,brand,graphics,cpu,ram,ssd,operating_system,inch,weight,resolution,refresh_rate,panel,cpu_brand,cpu_model,cpu_cores,npu,graphics_type,graphics_model,graphics_memory,ram_type,ram_slots,storage_slot,wireless,battery,ports,full_spec,registration_month,fetch_status,error
2026-07-22T14:41:25+09:00,77378045,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 1TB),https://prod.danawa.com/info/?pcode=77378045&cate=112758,ASUS,내장그래픽 / UHD Graphics,인텔 / 코어i5-13세대 / i5-13420H (2.1GHz),16GB,1TB,윈도우11(설치),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,i5-13420H (2.1GHz),,,내장그래픽,UHD Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / 윈도우11(설치) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어i5-13세대 / i5-13420H (2.1GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 50Wh,2025/02,ok,
2026-07-22T14:41:25+09:00,77378048,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 2TB),https://prod.danawa.com/info/?pcode=77378048&cate=112758,ASUS,내장그래픽 / UHD Graphics,인텔 / 코어i5-13세대 / i5-13420H (2.1GHz),16GB,2TB,윈도우11(설치),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,i5-13420H (2.1GHz),,,내장그래픽,UHD Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / 윈도우11(설치) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어i5-13세대 / i5-13420H (2.1GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 50Wh,2025/02,ok,
2026-07-22T14:41:25+09:00,79401737,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 4TB),https://prod.danawa.com/info/?pcode=79401737&cate=112758,ASUS,내장그래픽 / UHD Graphics,인텔 / 코어i5-13세대 / i5-13420H (2.1GHz),16GB,4TB,윈도우11(설치),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,i5-13420H (2.1GHz),,,내장그래픽,UHD Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / 윈도우11(설치) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어i5-13세대 / i5-13420H (2.1GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 4TB / USB-PD / 50Wh,2025/02,ok,
2026-07-22T14:41:25+09:00,77378042,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 512GB),https://prod.danawa.com/info/?pcode=77378042&cate=112758,ASUS,내장그래픽 / UHD Graphics,인텔 / 코어i5-13세대 / i5-13420H (2.1GHz),16GB,512GB,윈도우11(설치),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,i5-13420H (2.1GHz),,,내장그래픽,UHD Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / 윈도우11(설치) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어i5-13세대 / i5-13420H (2.1GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 50Wh,2025/02,ok,
2026-07-22T14:41:25+09:00,103516550,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 1TB),https://prod.danawa.com/info/?pcode=103516550&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 210H (4.8GHz),8GB,1TB,OS미포함(프리도스),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어5 / 210H (4.8GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 8GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 50Wh,2025/12,ok,
2026-07-22T14:41:25+09:00,103516556,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 2TB),https://prod.danawa.com/info/?pcode=103516556&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 210H (4.8GHz),8GB,2TB,OS미포함(프리도스),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어5 / 210H (4.8GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 8GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 50Wh,2025/12,ok,
2026-07-22T14:41:25+09:00,102490352,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 512GB),https://prod.danawa.com/info/?pcode=102490352&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 210H (4.8GHz),8GB,512GB,OS미포함(프리도스),39.62cm(15.6인치),1.64kg,1920x1080(FHD),60Hz,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.64kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] 인텔 / 코어5 / 210H (4.8GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 8GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 50Wh,2025/12,ok,
2026-07-22T14:41:25+09:00,96580334,ASUS ExpertBook P1 PM1503CDA-S70068 (SSD 1TB),https://prod.danawa.com/info/?pcode=96580334&cate=112758,ASUS,내장그래픽 / Radeon 660M / 6core,AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz),16GB,1TB,OS미포함(프리도스),39.62cm(15.6인치),1.8kg,1920x1080(FHD),60Hz,,AMD,라이젠5(Zen3+),,,내장그래픽,Radeon 660M,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.8kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 16GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 50Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,96580343,ASUS ExpertBook P1 PM1503CDA-S70068 (SSD 2TB),https://prod.danawa.com/info/?pcode=96580343&cate=112758,ASUS,내장그래픽 / Radeon 660M / 6core,AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz),16GB,2TB,OS미포함(프리도스),39.62cm(15.6인치),1.8kg,1920x1080(FHD),60Hz,,AMD,라이젠5(Zen3+),,,내장그래픽,Radeon 660M,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.8kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 16GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 50Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,103517144,ASUS ExpertBook P1 PM1503CDA-S70068 (SSD 4TB),https://prod.danawa.com/info/?pcode=103517144&cate=112758,ASUS,내장그래픽 / Radeon 660M / 6core,AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz),16GB,4TB,OS미포함(프리도스),39.62cm(15.6인치),1.8kg,1920x1080(FHD),60Hz,,AMD,라이젠5(Zen3+),,,내장그래픽,Radeon 660M,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.8kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 16GB / 램 교체: 가능 / 용량: 4TB / USB-PD / 50Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,96422729,ASUS ExpertBook P1 PM1503CDA-S70068 (SSD 512GB),https://prod.danawa.com/info/?pcode=96422729&cate=112758,ASUS,내장그래픽 / Radeon 660M / 6core,AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz),16GB,512GB,OS미포함(프리도스),39.62cm(15.6인치),1.8kg,1920x1080(FHD),60Hz,,AMD,라이젠5(Zen3+),,,내장그래픽,Radeon 660M,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.8kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 16GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 50Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,96425288,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 1TB),https://prod.danawa.com/info/?pcode=96425288&cate=112758,ASUS,내장그래픽 / Radeon 660M / 6core,AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz),8GB,1TB,OS미포함(프리도스),39.62cm(15.6인치),1.8kg,1920x1080(FHD),60Hz,,AMD,라이젠5(Zen3+),,,내장그래픽,Radeon 660M,,,램 교체,,,50Wh,USB-PD,노트북 / 39.62cm(15.6인치) / 1.8kg / OS미포함(프리도스) / [화면] 1920x1080(FHD) / 60Hz / 300nit / [CPU] AMD / 라이젠5(Zen3+) / 7535HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 8GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 50Wh,2025/08,ok,
