collected_at,product_code,product_name,product_url,screen_size,display_type,resolution,refresh_rate,hdr,smart_features,full_spec,registration_month,fetch_status,error
2026-06-27T06:20:37+09:00,31958315,시스메이트 QHC650S (키오스크형),https://prod.danawa.com/info/?pcode=31958315&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 900x1940x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958342,시스메이트 QHC750S (키오스크형),https://prod.danawa.com/info/?pcode=31958342&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31978223,시스메이트 QM750S (키오스크형),https://prod.danawa.com/info/?pcode=31978223&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / 2022년형 / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2022/04,ok,
2026-06-27T06:20:37+09:00,31949489,시스메이트 QMC430S (키오스크형),https://prod.danawa.com/info/?pcode=31949489&cate=10248425,43인치(108cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(108cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 585x1900x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31977740,시스메이트 QMC500S (키오스크형),https://prod.danawa.com/info/?pcode=31977740&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 691x1900x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958084,시스메이트 QMC550S (키오스크형),https://prod.danawa.com/info/?pcode=31958084&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 740x1900x468mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958126,시스메이트 QMC650S (키오스크형),https://prod.danawa.com/info/?pcode=31958126&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 900x1940x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958156,시스메이트 QMC750S (키오스크형),https://prod.danawa.com/info/?pcode=31958156&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,99893933,시스메이트 더 갤러리 QB43F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99893933&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 979x567x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,98924666,시스메이트 더 갤러리 QB43F-WTE (본체),https://prod.danawa.com/info/?pcode=98924666&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 979x567x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
